b,30.83,0,u,g,w,v,1.25,t,t,1,f,g,202,0,+
a,58.67,4.46,u,g,q,h,3.04,t,t,6,f,g,43,560,+
a,24.5,0.5,u,g,q,h,1.5,t,f,0,f,g,280,824,+
b,27.83,1.54,u,g,w,v,3.75,t,t,5,t,g,100,3,+
b,20.17,5.625,u,g,w,v,1.71,t,f,0,f,s,120,0,+
b,32.08,4,u,g,m,v,2.5,t,f,0,t,g,360,0,+
b,33.17,1.04,u,g,r,h,6.5,t,f,0,t,g,164,31285,+
a,22.92,11.585,u,g,cc,v,0.04,t,f,0,f,g,80,1349,+
b,54.42,0.5,y,p,k,h,3.96,t,f,0,f,g,180,314,+
b,42.5,4.915,y,p,w,v,3.165,t,f,0,t,g,52,1442,+
b,22.08,0.83,u,g,c,h,2.165,f,f,0,t,g,128,0,+
b,29.92,1.835,u,g,c,h,4.335,t,f,0,f,g,260,200,+
a,38.25,6,u,g,k,v,1,t,f,0,t,g,0,0,+
b,48.08,6.04,u,g,k,v,0.04,f,f,0,f,g,0,2690,+
a,45.83,10.5,u,g,q,v,5,t,t,7,t,g,0,0,+
b,36.67,4.415,y,p,k,v,0.25,t,t,10,t,g,320,0,+
b,28.25,0.875,u,g,m,v,0.96,t,t,3,t,g,396,0,+
a,23.25,5.875,u,g,q,v,3.17,t,t,10,f,g,120,245,+
b,21.83,0.25,u,g,d,h,0.665,t,f,0,t,g,0,0,+
a,19.17,8.585,u,g,cc,h,0.75,t,t,7,f,g,96,0,+
b,25,11.25,u,g,c,v,2.5,t,t,17,f,g,200,1208,+
b,23.25,1,u,g,c,v,0.835,t,f,0,f,s,300,0,+
a,47.75,8,u,g,c,v,7.875,t,t,6,t,g,0,1260,+
a,27.42,14.5,u,g,x,h,3.085,t,t,1,f,g,120,11,+
a,41.17,6.5,u,g,q,v,0.5,t,t,3,t,g,145,0,+
a,15.83,0.585,u,g,c,h,1.5,t,t,2,f,g,100,0,+
a,47,13,u,g,i,bb,5.165,t,t,9,t,g,0,0,+
b,56.58,18.5,u,g,d,bb,15,t,t,17,t,g,0,0,+
b,57.42,8.5,u,g,e,h,7,t,t,3,f,g,0,0,+
b,42.08,1.04,u,g,w,v,5,t,t,6,t,g,500,10000,+
b,29.25,14.79,u,g,aa,v,5.04,t,t,5,t,g,168,0,+
b,42,9.79,u,g,x,h,7.96,t,t,8,f,g,0,0,+
b,49.5,7.585,u,g,i,bb,7.585,t,t,15,t,g,0,5000,+
a,36.75,5.125,u,g,e,v,5,t,f,0,t,g,0,4000,+
a,22.58,10.75,u,g,q,v,0.415,t,t,5,t,g,0,560,+
b,27.83,1.5,u,g,w,v,2,t,t,11,t,g,434,35,+
b,27.25,1.585,u,g,cc,h,1.835,t,t,12,t,g,583,713,+
a,23,11.75,u,g,x,h,0.5,t,t,2,t,g,300,551,+
b,27.75,0.585,y,p,cc,v,0.25,t,t,2,f,g,260,500,+
b,54.58,9.415,u,g,ff,ff,14.415,t,t,11,t,g,30,300,+
b,34.17,9.17,u,g,c,v,4.5,t,t,12,t,g,0,221,+
b,28.92,15,u,g,c,h,5.335,t,t,11,f,g,0,2283,+
b,29.67,1.415,u,g,w,h,0.75,t,t,1,f,g,240,100,+
b,39.58,13.915,u,g,w,v,8.625,t,t,6,t,g,70,0,+
b,56.42,28,y,p,c,v,28.5,t,t,40,f,g,0,15,+
b,54.33,6.75,u,g,c,h,2.625,t,t,11,t,g,0,284,+
a,41,2.04,y,p,q,h,0.125,t,t,23,t,g,455,1236,+
b,31.92,4.46,u,g,cc,h,6.04,t,t,3,f,g,311,300,+
b,41.5,1.54,u,g,i,bb,3.5,f,f,0,f,g,216,0,+
b,23.92,0.665,u,g,c,v,0.165,f,f,0,f,g,100,0,+
a,25.75,0.5,u,g,c,h,0.875,t,f,0,t,g,491,0,+
b,26,1,u,g,q,v,1.75,t,f,0,t,g,280,0,+
b,37.42,2.04,u,g,w,v,0.04,t,f,0,t,g,400,5800,+
b,34.92,2.5,u,g,w,v,0,t,f,0,t,g,239,200,+
b,34.25,3,u,g,cc,h,7.415,t,f,0,t,g,0,0,+
b,23.33,11.625,y,p,w,v,0.835,t,f,0,t,g,160,300,+
b,23.17,0,u,g,cc,v,0.085,t,f,0,f,g,0,0,+
b,44.33,0.5,u,g,i,h,5,t,f,0,t,g,320,0,+
b,35.17,4.5,u,g,x,h,5.75,f,f,0,t,s,711,0,+
b,43.25,3,u,g,q,h,6,t,t,11,f,g,80,0,+
b,56.75,12.25,u,g,m,v,1.25,t,t,4,t,g,200,0,+
b,31.67,16.165,u,g,d,v,3,t,t,9,f,g,250,730,+
a,23.42,0.79,y,p,q,v,1.5,t,t,2,t,g,80,400,+
a,20.42,0.835,u,g,q,v,1.585,t,t,1,f,g,0,0,+
b,26.67,4.25,u,g,cc,v,4.29,t,t,1,t,g,120,0,+
b,34.17,1.54,u,g,cc,v,1.54,t,t,1,t,g,520,50000,+
a,36,1,u,g,c,v,2,t,t,11,f,g,0,456,+
b,25.5,0.375,u,g,m,v,0.25,t,t,3,f,g,260,15108,+
b,19.42,6.5,u,g,w,h,1.46,t,t,7,f,g,80,2954,+
b,35.17,25.125,u,g,x,h,1.625,t,t,1,t,g,515,500,+
b,32.33,7.5,u,g,e,bb,1.585,t,f,0,t,s,420,0,-
b,34.83,4,u,g,d,bb,12.5,t,f,0,t,g,?,0,-
a,38.58,5,u,g,cc,v,13.5,t,f,0,t,g,980,0,-
b,44.25,0.5,u,g,m,v,10.75,t,f,0,f,s,400,0,-
b,44.83,7,y,p,c,v,1.625,f,f,0,f,g,160,2,-
b,20.67,5.29,u,g,q,v,0.375,t,t,1,f,g,160,0,-
b,34.08,6.5,u,g,aa,v,0.125,t,f,0,t,g,443,0,-
a,19.17,0.585,y,p,aa,v,0.585,t,f,0,t,g,160,0,-
b,21.67,1.165,y,p,k,v,2.5,t,t,1,f,g,180,20,-
b,21.5,9.75,u,g,c,v,0.25,t,f,0,f,g,140,0,-
b,49.58,19,u,g,ff,ff,0,t,t,1,f,g,94,0,-
a,27.67,1.5,u,g,m,v,2,t,f,0,f,s,368,0,-
b,39.83,0.5,u,g,m,v,0.25,t,f,0,f,s,288,0,-
a,?,3.5,u,g,d,v,3,t,f,0,t,g,300,0,-
b,27.25,0.625,u,g,aa,v,0.455,t,f,0,t,g,200,0,-
b,37.17,4,u,g,c,bb,5,t,f,0,t,s,280,0,-
b,?,0.375,u,g,d,v,0.875,t,f,0,t,s,928,0,-
b,25.67,2.21,y,p,aa,v,4,t,f,0,f,g,188,0,-
b,34,4.5,u,g,aa,v,1,t,f,0,t,g,240,0,-
a,49,1.5,u,g,j,j,0,t,f,0,t,g,100,27,-
b,62.5,12.75,y,p,c,h,5,t,f,0,f,g,112,0,-
b,31.42,15.5,u,g,c,v,0.5,t,f,0,f,g,120,0,-
b,?,5,y,p,aa,v,8.5,t,f,0,f,g,0,0,-
b,52.33,1.375,y,p,c,h,9.46,t,f,0,t,g,200,100,-
b,28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,0,225,-
a,28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,171,0,-
b,23,0.625,y,p,aa,v,0.125,t,f,0,f,g,180,1,-
b,?,0.5,u,g,c,bb,0.835,t,f,0,t,s,320,0,-
a,22.5,11,y,p,q,v,3,t,f,0,t,g,268,0,-
a,28.5,1,u,g,q,v,1,t,t,2,t,g,167,500,-
b,37.5,1.75,y,p,c,bb,0.25,t,f,0,t,g,164,400,-
b,35.25,16.5,y,p,c,v,4,t,f,0,f,g,80,0,-
b,18.67,5,u,g,q,v,0.375,t,t,2,f,g,0,38,-
b,25,12,u,g,k,v,2.25,t,t,2,t,g,120,5,-
b,27.83,4,y,p,i,h,5.75,t,t,2,t,g,75,0,-
b,54.83,15.5,u,g,e,z,0,t,t,20,f,g,152,130,-
b,28.75,1.165,u,g,k,v,0.5,t,f,0,f,s,280,0,-
a,25,11,y,p,aa,v,4.5,t,f,0,f,g,120,0,-
b,40.92,2.25,y,p,x,h,10,t,f,0,t,g,176,0,-
a,19.75,0.75,u,g,c,v,0.795,t,t,5,t,g,140,5,-
b,29.17,3.5,u,g,w,v,3.5,t,t,3,t,g,329,0,-
a,24.5,1.04,y,p,ff,ff,0.5,t,t,3,f,g,180,147,-
b,24.58,12.5,u,g,w,v,0.875,t,f,0,t,g,260,0,-
a,33.75,0.75,u,g,k,bb,1,t,t,3,t,g,212,0,-
b,20.67,1.25,y,p,c,h,1.375,t,t,3,t,g,140,210,-
a,25.42,1.125,u,g,q,v,1.29,t,t,2,f,g,200,0,-
b,37.75,7,u,g,q,h,11.5,t,t,7,t,g,300,5,-
b,52.5,6.5,u,g,k,v,6.29,t,t,15,f,g,0,11202,+
b,57.83,7.04,u,g,m,v,14,t,t,6,t,g,360,1332,+
a,20.75,10.335,u,g,cc,h,0.335,t,t,1,t,g,80,50,+
b,39.92,6.21,u,g,q,v,0.04,t,t,1,f,g,200,300,+
b,25.67,12.5,u,g,cc,v,1.21,t,t,67,t,g,140,258,+
a,24.75,12.5,u,g,aa,v,1.5,t,t,12,t,g,120,567,+
a,44.17,6.665,u,g,q,v,7.375,t,t,3,t,g,0,0,+
a,23.5,9,u,g,q,v,8.5,t,t,5,t,g,120,0,+
b,34.92,5,u,g,x,h,7.5,t,t,6,t,g,0,1000,+
b,47.67,2.5,u,g,m,bb,2.5,t,t,12,t,g,410,2510,+
b,22.75,11,u,g,q,v,2.5,t,t,7,t,g,100,809,+
b,34.42,4.25,u,g,i,bb,3.25,t,t,2,f,g,274,610,+
a,28.42,3.5,u,g,w,v,0.835,t,f,0,f,s,280,0,+
b,67.75,5.5,u,g,e,z,13,t,t,1,t,g,0,0,+
b,20.42,1.835,u,g,c,v,2.25,t,t,1,f,g,100,150,+
a,47.42,8,u,g,e,bb,6.5,t,t,6,f,g,375,51100,+
b,36.25,5,u,g,c,bb,2.5,t,t,6,f,g,0,367,+
b,32.67,5.5,u,g,q,h,5.5,t,t,12,t,g,408,1000,+
b,48.58,6.5,u,g,q,h,6,t,f,0,t,g,350,0,+
b,39.92,0.54,y,p,aa,v,0.5,t,t,3,f,g,200,1000,+
b,33.58,2.75,u,g,m,v,4.25,t,t,6,f,g,204,0,+
a,18.83,9.5,u,g,w,v,1.625,t,t,6,t,g,40,600,+
a,26.92,13.5,u,g,q,h,5,t,t,2,f,g,0,5000,+
a,31.25,3.75,u,g,cc,h,0.625,t,t,9,t,g,181,0,+
a,56.5,16,u,g,j,ff,0,t,t,15,f,g,0,247,+
b,43,0.29,y,p,cc,h,1.75,t,t,8,f,g,100,375,+
b,22.33,11,u,g,w,v,2,t,t,1,f,g,80,278,+
b,27.25,1.665,u,g,cc,h,5.085,t,t,9,f,g,399,827,+
b,32.83,2.5,u,g,cc,h,2.75,t,t,6,f,g,160,2072,+
b,23.25,1.5,u,g,q,v,2.375,t,t,3,t,g,0,582,+
a,40.33,7.54,y,p,q,h,8,t,t,14,f,g,0,2300,+
a,30.5,6.5,u,g,c,bb,4,t,t,7,t,g,0,3065,+
a,52.83,15,u,g,c,v,5.5,t,t,14,f,g,0,2200,+
a,46.67,0.46,u,g,cc,h,0.415,t,t,11,t,g,440,6,+
a,58.33,10,u,g,q,v,4,t,t,14,f,g,0,1602,+
b,37.33,6.5,u,g,m,h,4.25,t,t,12,t,g,93,0,+
b,23.08,2.5,u,g,c,v,1.085,t,t,11,t,g,60,2184,+
b,32.75,1.5,u,g,cc,h,5.5,t,t,3,t,g,0,0,+
a,21.67,11.5,y,p,j,j,0,t,t,11,t,g,0,0,+
a,28.5,3.04,y,p,x,h,2.54,t,t,1,f,g,70,0,+
a,68.67,15,u,g,e,z,0,t,t,14,f,g,0,3376,+
b,28,2,u,g,k,h,4.165,t,t,2,t,g,181,0,+
b,34.08,0.08,y,p,m,bb,0.04,t,t,1,t,g,280,2000,+
b,27.67,2,u,g,x,h,1,t,t,4,f,g,140,7544,+
b,44,2,u,g,m,v,1.75,t,t,2,t,g,0,15,+
b,25.08,1.71,u,g,x,v,1.665,t,t,1,t,g,395,20,+
b,32,1.75,y,p,e,h,0.04,t,f,0,t,g,393,0,+
a,60.58,16.5,u,g,q,v,11,t,f,0,t,g,21,10561,+
a,40.83,10,u,g,q,h,1.75,t,f,0,f,g,29,837,+
b,19.33,9.5,u,g,q,v,1,t,f,0,t,g,60,400,+
a,32.33,0.54,u,g,cc,v,0.04,t,f,0,f,g,440,11177,+
b,36.67,3.25,u,g,q,h,9,t,f,0,t,g,102,639,+
b,37.5,1.125,y,p,d,v,1.5,f,f,0,t,g,431,0,+
a,25.08,2.54,y,p,aa,v,0.25,t,f,0,t,g,370,0,+
b,41.33,0,u,g,c,bb,15,t,f,0,f,g,0,0,+
b,56,12.5,u,g,k,h,8,t,f,0,t,g,24,2028,+
a,49.83,13.585,u,g,k,h,8.5,t,f,0,t,g,0,0,+
b,22.67,10.5,u,g,q,h,1.335,t,f,0,f,g,100,0,+
b,27,1.5,y,p,w,v,0.375,t,f,0,t,g,260,1065,+
b,25,12.5,u,g,aa,v,3,t,f,0,t,s,20,0,+
a,26.08,8.665,u,g,aa,v,1.415,t,f,0,f,g,160,150,+
a,18.42,9.25,u,g,q,v,1.21,t,t,4,f,g,60,540,+
b,20.17,8.17,u,g,aa,v,1.96,t,t,14,f,g,60,158,+
